Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Kenneth Walker III,RB,SEA,,0,0,0,0,0,243,1024.4,8,,59.7,47.6,345.7,1.8,219.6
Drake London,WR,ATL,,0,0,0,0,0,0,0,0,,148.4,93.5,1167.8,7.8,210.3
Breece Hall,RB,NYJ,,0,0,0,0,0,240.7,1049.5,5.6,,66.2,49.9,414,2.1,217.5
James Cook,RB,BUF,,0,0,0,0,0,218.2,1009.8,9.9,,40.5,33.3,263,1.9,214.7
Omarion Hampton,RB,LAC,,0,0,0,0,0,226.6,1005.3,8.6,,50.4,39,286.3,1.8,211.1
James Conner,RB,ARZ,,0,0,0,0,0,220.3,985.4,8.5,,45.7,39.7,304.9,1.6,209.5
Patrick Mahomes,QB,KC,,387.4,578.3,4193.5,28.8,12.1,65,326,2.5,,0,0,0,0,376
A.J. Brown,WR,PHI,,0,0,0,0,0,0.9,3.8,0,,127.1,81.5,1176.4,7.4,203.2
Ladd McConkey,WR,LAC,,0,0,0,0,0,0,0,0,,135,92.2,1159.3,6.6,201.6
Chuba Hubbard,RB,CAR,,0,0,0,0,0,243.6,1083.7,7.1,,54.8,43.1,274,1.1,206.5
Tee Higgins,WR,CIN,,0,0,0,0,0,1.5,8.5,0.1,,127.2,84.8,1062.2,8.1,198.7
Baker Mayfield,QB,TB,,358.7,546.3,3981.5,31,12.9,56.5,274.5,1.8,,0,0,0,0,370.6
Sam LaPorta,TE,DET,,0,0,0,0,0,0,0,0,,93.8,68.3,727.6,6.2,144.1
Tyreek Hill,WR,MIA,,0,0,0,0,0,6.4,37.9,0.1,,121.2,83.8,1065.2,7,194.8
Davante Adams,WR,LAR,,0,0,0,0,0,0,0,0,,126.9,78.7,1037,8.6,194.7
Alvin Kamara,RB,NO,,0,0,0,0,0,187,781.6,5,,81.4,61.5,480.2,1.8,197.7
